student_id,group,DA_final_match,DA_rank (The rank of the matched college under Deferred Acceptance (DA)),QB_final_match,QB_rank_true (Where the matched college ranks in the student’s TRUE preferences (under QB)),QB_rank_submitted (Where the student ranked that college in their SUBMITTED list (what they told the system))
S1,Highest,,,College_9,1,1
S2,Highest,,,,,
S3,Highest,,,,,
S4,Highest,,,,,
S5,Highest,College_12,13,,,
S6,Highest,College_13,11,,,
S7,Highest,College_14,4,,,
S8,Highest,,,,,
S9,Highest,,,College_1,3,3
S10,Highest,College_10,8,,,
S11,Highest,,,College_7,1,1
S12,Highest,,,,,
S13,Highest,College_9,6,College_3,2,2
S14,Highest,College_6,3,,,
S15,Highest,,,College_3,3,3
S16,Highest,College_8,5,College_5,1,1
S17,Highest,College_7,7,College_5,1,1
S18,Highest,,,College_10,1,1
S19,Highest,,,College_11,1,1
S20,Highest,,,,,
S21,Highest,College_9,9,,,
S22,Highest,,,,,
S23,Highest,,,,,
S24,Highest,,,College_13,1,1
S25,Highest,,,,,
S26,Highest,,,College_7,1,1
S27,Highest,,,,,
S28,Highest,,,,,
S29,Highest,College_5,2,,,
S30,Highest,,,,,
S31,Highest,,,College_12,1,1
S32,Highest,,,College_7,3,3
S33,Highest,College_8,1,,,
S34,Highest,,,College_9,1,1
S35,Highest,,,,,
S36,Highest,,,College_8,1,1
S37,Highest,,,College_4,1,1
S38,Highest,College_4,4,,,
S39,Highest,,,College_4,1,1
S40,Highest,,,,,
S41,Highest,,,,,
S42,Highest,College_1,1,College_1,1,1
S43,Highest,College_7,7,,,
S44,Highest,,,,,
S45,Highest,College_10,2,College_3,1,1
S46,Highest,,,,,
S47,Highest,,,,,
S48,Highest,,,,,
S49,Highest,,,,,
S50,Highest,,,,,
S51,Highest,College_3,11,College_4,1,1
S52,Highest,College_9,1,,,
S53,Highest,,,College_5,1,1
S54,Highest,,,,,
S55,Highest,,,,,
S56,Highest,,,College_2,1,1
S57,Highest,College_14,9,College_3,2,2
S58,Highest,College_6,9,College_1,1,1
S59,Highest,,,College_7,1,1
S60,Highest,,,College_3,5,5
S61,Highest,,,College_4,4,4
S62,Highest,,,,,
S63,Highest,,,,,
S64,Highest,,,College_2,1,1
S65,Highest,College_1,6,,,
S66,Highest,,,,,
S67,Highest,,,,,
S68,Highest,,,,,
S69,Highest,,,College_6,1,1
S70,Highest,,,College_9,1,1
S71,Highest,College_2,3,College_2,3,3
S72,Highest,College_5,5,College_10,1,1
S73,Highest,,,College_2,1,1
S74,Highest,,,,,
S75,Highest,,,,,
S76,Highest,,,,,
S77,Highest,College_7,6,,,
S78,Highest,,,,,
S79,Highest,,,,,
S80,Highest,College_11,13,,,
S81,Highest,,,,,
S82,Highest,,,College_4,1,1
S83,Highest,,,College_1,6,6
S84,Highest,,,College_2,1,1
S85,Highest,,,College_13,1,1
S86,Highest,College_3,4,,,
S87,Highest,,,,,
S88,Highest,,,,,
S89,Highest,,,College_1,1,1
S90,Highest,,,College_5,2,2
S91,Highest,,,,,
S92,Highest,College_10,14,,,
S93,Highest,,,,,
S94,Highest,,,College_9,1,1
S95,Highest,College_14,14,College_5,1,1
S96,Highest,,,,,
S97,Highest,College_8,2,College_7,1,1
S98,Highest,,,College_4,2,2
S99,Highest,College_11,6,College_15,1,1
S100,Highest,,,College_2,1,1
S101,Middle,College_8,15,,,
S102,Middle,,,,,
S103,Middle,,,,,
S104,Middle,College_10,4,,,
S105,Middle,College_8,5,,,
S106,Middle,,,,,
S107,Middle,,,,,
S108,Middle,College_3,6,College_8,2,2
S109,Middle,,,,,
S110,Middle,,,College_6,3,3
S111,Middle,,,,,
S112,Middle,College_12,2,,,
S113,Middle,,,College_11,1,1
S114,Middle,,,,,
S115,Middle,,,,,
S116,Middle,,,,,
S117,Middle,College_2,4,,,
S118,Middle,College_2,3,,,
S119,Middle,College_5,13,,,
S120,Middle,College_9,12,,,
S121,Middle,,,,,
S122,Middle,,,,,
S123,Middle,College_11,14,,,
S124,Middle,,,,,
S125,Middle,College_15,14,,,
S126,Middle,,,College_9,1,1
S127,Middle,,,,,
S128,Middle,,,,,
S129,Middle,College_12,10,,,
S130,Middle,,,College_10,1,1
S131,Middle,College_14,11,,,
S132,Middle,College_6,5,,,
S133,Middle,,,College_9,1,1
S134,Middle,,,College_9,1,1
S135,Middle,College_9,14,College_6,4,2
S136,Middle,,,,,
S137,Middle,,,,,
S138,Middle,College_5,11,,,
S139,Middle,,,College_12,1,1
S140,Middle,,,,,
S141,Middle,,,College_15,2,2
S142,Middle,,,,,
S143,Middle,,,,,
S144,Middle,,,College_7,1,1
S145,Middle,College_9,12,College_13,2,1
S146,Middle,,,,,
S147,Middle,,,College_6,2,1
S148,Middle,,,College_14,1,1
S149,Middle,,,,,
S150,Middle,,,,,
S151,Middle,College_1,6,,,
S152,Middle,,,,,
S153,Middle,,,College_3,2,8
S154,Middle,College_12,3,,,
S155,Middle,,,,,
S156,Middle,,,College_10,5,5
S157,Middle,College_6,12,College_8,2,1
S158,Middle,,,,,
S159,Middle,College_3,10,,,
S160,Middle,College_4,13,,,
S161,Middle,,,College_8,3,2
S162,Middle,,,,,
S163,Middle,College_10,13,College_8,8,5
S164,Middle,College_1,9,College_3,7,9
S165,Middle,,,College_14,3,1
S166,Middle,,,,,
S167,Middle,College_2,6,College_10,2,1
S168,Middle,,,,,
S169,Middle,,,,,
S170,Middle,,,,,
S171,Middle,,,College_1,6,8
S172,Middle,,,,,
